method_a,method_b,mean_a (judge_score),mean_b (judge_score),t_statistic,p_value,p_bonferroni,cohens_d,significant_0.05,n_a,n_b
maps_algorithmic,maps_llm,8.0,8.25,-3.60555127546399,0.0008725735575987845,0.013088603363981767,-0.6324555320336759,True,10,40
maps_algorithmic,maps_proprietary,8.0,8.65,-5.940177967511945,1.0197324336468751e-05,0.00015295986504703128,-1.6124515496597107,True,10,20
maps_algorithmic,trails_llm,8.0,8.0,,,,0.0,False,10,20
maps_algorithmic,trails_proprietary,8.0,8.0,,,,0.0,False,10,2
maps_llm,maps_proprietary,8.25,8.65,-3.0877789379426024,0.003958196979035243,0.059372954685528646,-0.8775673656921171,False,40,20
maps_llm,trails_llm,8.25,8.0,3.60555127546399,0.0008725735575987845,0.013088603363981767,0.6952217871538069,True,40,20
maps_llm,trails_proprietary,8.25,8.0,3.60555127546399,0.0008725735575987845,0.013088603363981767,0.5773502691896258,True,40,2
maps_proprietary,trails_llm,8.65,8.0,5.940177967511945,1.0197324336468751e-05,0.00015295986504703128,1.878449208408743,True,20,20
maps_proprietary,trails_proprietary,8.65,8.0,5.940177967511945,1.0197324336468751e-05,0.00015295986504703128,1.3627702877384946,True,20,2
trails_llm,trails_proprietary,8.0,8.0,,,,0.0,False,20,2
