method,n,judge_mean,judge_std,judge_median,edge_coh_mean,edge_coh_std,wall_time_mean,memory_mean,api_cost_total,count,valid_judges
llm_extractor_gemma3,6,8.0556,0.2357,8.0,0.577,0.0559,15.8481,0.257,0.0,18,18
llm_extractor_gemma3,12,7.5714,1.1579,8.0,0.7849,0.0671,28.5385,0.3908,0.0,14,14
llm_extractor_gemma3,18,8.0,0.0,8.0,0.8501,0.0614,31.0907,0.5768,0.0,9,9
llm_extractor_gpt4omini,6,8.05,0.2236,8.0,0.5856,0.0465,4.5776,0.6373,0.0187,20,20
llm_extractor_gpt4omini,12,7.7895,0.6306,8.0,0.569,0.031,7.7545,0.3713,0.0371,19,19
llm_extractor_gpt4omini,18,8.1053,0.3153,8.0,0.5772,0.0255,11.6522,0.5108,0.0529,19,19
llm_extractor_llama32,6,8.0,0.0,8.0,0.5748,0.0603,6.7274,0.2343,0.0,20,20
llm_extractor_llama32,12,7.8333,0.5774,8.0,0.7935,0.0662,11.3715,0.3279,0.0,12,12
llm_extractor_llama32,18,8.0,0.0,8.0,0.8783,0.0352,10.0024,0.4617,0.0,12,12
llm_extractor_mistral,6,8.0,0.0,8.0,0.5721,0.0685,18.432,0.2307,0.0,20,20
llm_extractor_mistral,12,7.0,1.6733,8.0,0.8004,0.0434,37.9603,0.4227,0.0,6,6
maps_algorithmic,6,7.5,1.0,8.0,0.5757,0.0532,0.6233,0.7487,0.0,4,4
maps_algorithmic,12,8.0,0.0,8.0,0.57,0.0483,0.2138,0.8302,0.0,4,4
maps_algorithmic,18,8.0,0.0,8.0,0.5974,0.0274,0.1942,1.0795,0.0,4,4
trails_algorithmic,6,8.0,0.0,8.0,0.7139,0.0189,0.0102,0.2228,0.0,4,4
trails_algorithmic,12,8.0,0.0,8.0,0.6879,0.0238,0.0177,0.3288,0.0,4,4
trails_algorithmic,18,8.0,0.0,8.0,0.6812,0.0237,0.0289,0.4261,0.0,4,4
