t_stat,p_value,cohens_d,n_a,n_b,mean_a,mean_b,significant,n,method_a,method_b,effect_size
0.0743,0.94117,0.0242,18,20,8.0556,8.05,False,6,llm_extractor_gemma3,llm_extractor_gpt4omini,negligible
1.0,0.331333,0.343,18,20,8.0556,8.0,False,6,llm_extractor_gemma3,llm_extractor_llama32,small
1.0,0.331333,0.343,18,20,8.0556,8.0,False,6,llm_extractor_gemma3,llm_extractor_mistral,small
1.1043,0.348311,1.251,18,4,8.0556,7.5,False,6,llm_extractor_gemma3,maps_algorithmic,large
1.0,0.331333,0.2557,18,4,8.0556,8.0,False,6,llm_extractor_gemma3,trails_algorithmic,small
1.0,0.329877,0.3162,20,20,8.05,8.0,False,6,llm_extractor_gpt4omini,llm_extractor_llama32,small
1.0,0.329877,0.3162,20,20,8.05,8.0,False,6,llm_extractor_gpt4omini,llm_extractor_mistral,small
1.0945,0.352303,1.298,20,4,8.05,7.5,False,6,llm_extractor_gpt4omini,maps_algorithmic,large
1.0,0.329877,0.2406,20,4,8.05,8.0,False,6,llm_extractor_gpt4omini,trails_algorithmic,small
,,0.0,20,20,8.0,8.0,False,6,llm_extractor_llama32,llm_extractor_mistral,negligible
1.0,0.391002,1.354,20,4,8.0,7.5,False,6,llm_extractor_llama32,maps_algorithmic,large
,,0.0,20,4,8.0,8.0,False,6,llm_extractor_llama32,trails_algorithmic,negligible
1.0,0.391002,1.354,20,4,8.0,7.5,False,6,llm_extractor_mistral,maps_algorithmic,large
,,0.0,20,4,8.0,8.0,False,6,llm_extractor_mistral,trails_algorithmic,negligible
-1.0,0.391002,-0.7071,4,4,7.5,8.0,False,6,maps_algorithmic,trails_algorithmic,medium
-0.6383,0.531032,-0.2448,14,19,7.5714,7.7895,False,12,llm_extractor_gemma3,llm_extractor_gpt4omini,small
-0.7451,0.464991,-0.2794,14,12,7.5714,7.8333,False,12,llm_extractor_gemma3,llm_extractor_llama32,small
0.762,0.470481,0.4324,14,6,7.5714,7.0,False,12,llm_extractor_gemma3,llm_extractor_mistral,small
-1.3849,0.189381,-0.4106,14,4,7.5714,8.0,False,12,llm_extractor_gemma3,maps_algorithmic,small
-1.3849,0.189381,-0.4106,14,4,7.5714,8.0,False,12,llm_extractor_gemma3,trails_algorithmic,small
-0.1987,0.844073,-0.0718,19,12,7.7895,7.8333,False,12,llm_extractor_gpt4omini,llm_extractor_llama32,negligible
1.1306,0.305466,0.8231,19,6,7.7895,7.0,False,12,llm_extractor_gpt4omini,llm_extractor_mistral,large
-1.4552,0.162829,-0.3606,19,4,7.7895,8.0,False,12,llm_extractor_gpt4omini,maps_algorithmic,small
-1.4552,0.162829,-0.3606,19,4,7.7895,8.0,False,12,llm_extractor_gpt4omini,trails_algorithmic,small
1.1851,0.283784,0.7931,12,6,7.8333,7.0,False,12,llm_extractor_llama32,llm_extractor_mistral,medium
-1.0,0.338801,-0.3257,12,4,7.8333,8.0,False,12,llm_extractor_llama32,maps_algorithmic,small
-1.0,0.338801,-0.3257,12,4,7.8333,8.0,False,12,llm_extractor_llama32,trails_algorithmic,small
-1.4639,0.203111,-0.7559,6,4,7.0,8.0,False,12,llm_extractor_mistral,maps_algorithmic,medium
-1.4639,0.203111,-0.7559,6,4,7.0,8.0,False,12,llm_extractor_mistral,trails_algorithmic,medium
,,0.0,4,4,8.0,8.0,False,12,maps_algorithmic,trails_algorithmic,negligible
-1.4552,0.162829,-0.4012,9,19,8.0,8.1053,False,18,llm_extractor_gemma3,llm_extractor_gpt4omini,small
,,0.0,9,12,8.0,8.0,False,18,llm_extractor_gemma3,llm_extractor_llama32,negligible
,,,9,0,,,False,18,llm_extractor_gemma3,llm_extractor_mistral,large
,,0.0,9,4,8.0,8.0,False,18,llm_extractor_gemma3,maps_algorithmic,negligible
,,0.0,9,4,8.0,8.0,False,18,llm_extractor_gemma3,trails_algorithmic,negligible
1.4552,0.162829,0.4238,19,12,8.1053,8.0,False,18,llm_extractor_gpt4omini,llm_extractor_llama32,small
,,,19,0,,,False,18,llm_extractor_gpt4omini,llm_extractor_mistral,large
1.4552,0.162829,0.3606,19,4,8.1053,8.0,False,18,llm_extractor_gpt4omini,maps_algorithmic,small
1.4552,0.162829,0.3606,19,4,8.1053,8.0,False,18,llm_extractor_gpt4omini,trails_algorithmic,small
,,,12,0,,,False,18,llm_extractor_llama32,llm_extractor_mistral,large
,,0.0,12,4,8.0,8.0,False,18,llm_extractor_llama32,maps_algorithmic,negligible
,,0.0,12,4,8.0,8.0,False,18,llm_extractor_llama32,trails_algorithmic,negligible
,,,0,4,,,False,18,llm_extractor_mistral,maps_algorithmic,large
,,,0,4,,,False,18,llm_extractor_mistral,trails_algorithmic,large
,,0.0,4,4,8.0,8.0,False,18,maps_algorithmic,trails_algorithmic,negligible
